Time,Raining
0.0,0.0
15.0,0.0
75.0,0.0
135.0,0.0
195.0,0.0
255.0,0.0
315.0,0.0
375.0,0.0
435.0,0.0
495.0,0.0
555.0,0.0
615.0,0.0
675.0,0.0
735.0,0.0
795.0,0.0
855.0,0.0
915.0,0.0
975.0,0.0
1035.0,0.0
1095.0,0.0
1155.0,0.0
1215.0,0.0
1275.0,0.0
1335.0,0.0
1395.0,0.0
1455.0,0.0
1515.0,0.0
1575.0,0.0
1635.0,0.0
1695.0,0.0
1755.0,0.0
1815.0,0.0
1875.0,0.0
1935.0,0.0
1995.0,0.0
2055.0,0.0
2115.0,0.0
2175.0,0.0
2235.0,0.0
2295.0,0.0
2355.0,0.0
2415.0,0.0
2475.0,0.0
2535.0,0.0
2595.0,0.0
2655.0,0.0
2715.0,0.0
2775.0,0.0
2835.0,0.0
2895.0,0.0
2955.0,0.0
3015.0,0.0
3075.0,0.0
3135.0,0.0
3195.0,0.0
3255.0,0.0
3315.0,0.0
3375.0,0.0
3435.0,0.0
3495.0,0.0
3555.0,0.0
3615.0,0.0
3675.0,0.0
3735.0,0.0
3795.0,0.0
3855.0,0.0
3915.0,0.0
3975.0,0.0
4035.0,0.0
4095.0,0.0
4155.0,0.0
4215.0,0.0
4275.0,0.0
4335.0,0.0
4395.0,0.0
4455.0,0.0
4515.0,0.0
4575.0,0.0
4635.0,0.0
4695.0,0.0
4755.0,0.0
4815.0,0.0
4875.0,0.0
4935.0,0.0
4995.0,0.0
5055.0,0.0
5115.0,0.0
5175.0,0.0
5235.0,0.0
5295.0,0.0
5355.0,0.0
5415.0,0.0
5475.0,0.0
5535.0,0.0
5595.0,0.0
5655.0,0.0
5715.0,0.0
5775.0,0.0
5835.0,0.0
5895.0,0.0
5955.0,0.0
